#{"t_start": 1784624696.4786775, "env_id": "SuperMarioBros-v2"}
r,l,t
1082.0,121,5.809911
1477.0,162,11.658658
2384.0,263,21.16902
6223.0,699,47.207283
4470.0,519,66.802557
5801.0,718,93.578564
4565.0,582,115.893546
3318.0,411,131.374437
4348.0,484,149.94564
